título	id	precio	estado	disponibilidad	canal	etiqueta de feed	idioma	categoría en google product	checkout link template	color	coste de bienes vendidos	descripción	diseño	edad	enlace	enlace imagen	enlace imagen adicional	envío(país envío)	existe identificador	gtin	identificador de grupo	marca	merchant item id	modification info(modification source:modifier)	mpn	peso de embarque	product detail(attribute name:attribute value:section name)	rating average	rating count	sell on google quantity	sexo	sku	tipo producto	todos los clics
Support professionnel pour roue de remorque 48 mm	2252495239997020508	12.19 EUR	nuevo	agotado	online	ES	fr		https://evacaravan.com/fr/cart/add?id=51749576212822&quantity=1			Support de roue 48 mm pour remorque résistant à la rouille et très durable. Collier de fixation ferme. Améliore votre sécurité !			https://evacaravan.com/fr/collections/remolque-chasis-nivelacion/products/soporte-rueda-48mm-para-remolque	https://evacaravan.com/cdn/shop/files/soporte-rueda-remolque-48mm-palanca-ajuste-anticorrosion.jpg?v=1764592243		ES		04045541018325	9933878690134	AL-KO												0
Fiamma Roll Tank 40W Grau	16660886713363937710	127.70 EUR	nuevo	en stock	online	AT	de		https://evacaravan.com/de-at/cart/add?id=48995930800470&quantity=1			"Der Fiamma Roll Tank 40W in Grau ist ein 40-Liter-Abwassertank mit Rädern, robust und leicht zu transportieren. Ideal für Wohnwagen und Wohnmobile."			https://evacaravan.com/de-at/products/fiamma-roll-tank-40w-grau	https://evacaravan.com/cdn/shop/files/fiamma-roll-tank-40w-deposito-agua-potable-con-ruedas.jpg?v=1764232304		AT		08004815411572	9223626981718	Fiamma												0
Pack Système de manœuvre manuelle pour caravanes EM313	14754233019790570639	1140.00 EUR	nuevo	en stock	online	BE	fr		https://evacaravan.com/fr-be/cart/add?id=42207142871202&quantity=1			"Améliorez le contrôle de votre caravane avec le système de manœuvre EM313. Puissant, précis et facile à utiliser pour votre camping-car."			https://evacaravan.com/fr-be/products/systeme-manoeuvre-semi-automatique-em303-plus	https://evacaravan.com/cdn/shop/files/enduro-em313_-pack-completo-sistema-maniobra.jpg?v=1769525525		BE		03700628272281	7518036426914	Enduro Technology												0
Tonna Kompakte omnidirektionale terrestrische TV-Antenne	15935625	123.77 EUR	nuevo	en stock	online	DE	de		https://evacaravan.com/de-de/cart/add?id=42200066621602&quantity=1			"Die Tonna Compact omnidirektionale terrestrische TV-Antenne bietet hohen Empfang, einfache Installation und kompakte Abmessungen. Ideal für Wohnwagen und Wohnmobile."			https://evacaravan.com/de-de/products/tonna-kompakte-omnidirektionale-terrestrische-tv-antenne	https://evacaravan.com/cdn/shop/files/Antena_TV_terrestre_omnidireccional_Tonna_Compacta.jpg?v=1764066252		DE		03431042636105	7515145142434	Tonna												1
"Cerradura Meroni UFO Auto Classic, Resistente y Eficaz Pack 2 cerraduras"	shopify_ES_8735675482454_47671225418070	198.03 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/cerradura-meroni-ufo-auto-classic?variant=47671225418070&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic					8003601626688														0
Thetford Porta Potti Qube 165 | Inodoro Portátil	shopify_ES_9230534279510_49023450317142	84.96 EUR		en stock	online	ES	es				44.04 EUR	"El inodoro portátil Thetford Porta Potti Qube 165 es una solución práctica y cómoda para quienes necesitan un WC autónomo con mayor capacidad. Está fabricado por Thetford, una marca reconocida por la calidad y fiabilidad de sus sistemas sanitarios portátiles. Gracias a su diseño funcional, este modelo ofrece una altura de asiento cómoda, similar a la de un inodoro doméstico. Por ello, resulta adecuado para un uso frecuente y para toda la familia. Además, puede utilizarse sin problemas en caravanas, autocaravanas, furgonetas camper, barcos o viviendas sin conexión a saneamiento. Sistema de descarga manual eficiente El Porta Potti Qube 165 incorpora una bomba de fuelle manual, sencilla y resistente. De este modo, permite una descarga eficaz sin necesidad de electricidad. Asimismo, el depósito de residuos cuenta con un sistema de ventilación que facilita el vaciado y ayuda a evitar salpicaduras. Así, el mantenimiento diario resulta más limpio y cómodo. Gran capacidad y uso prolongado Este modelo destaca por su depósito de aguas residuales de 21 litros, ideal para estancias más largas sin vaciados frecuentes. Además, dispone de una cisterna de agua limpia de 15 litros, que garantiza un uso continuado y práctico. Aunque no incorpora indicadores de nivel, su gran capacidad permite planificar el vaciado con facilidad. Por último, su peso en vacío de 3,9 kg y sus dimensiones de 41,4 × 38,3 × 42,7 cm facilitan tanto el transporte como la instalación. Ventajas principales del Porta Potti Qube 165 Inodoro portátil químico con gran capacidad Depósito de residuos de 21 litros Bomba de fuelle manual sin electricidad Diseño estable, cómodo y fácil de limpiar Ideal para camping, caravaning, náutica y uso doméstico En conclusión, el Thetford Porta Potti Qube 165 es una excelente elección para quienes buscan un WC portátil robusto, cómodo y con mayor autonomía, respaldado por una marca líder del sector."			https://evacaravan.com/products/thetford-porta-potti-qube-165?variant=49023450317142&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/thetford-porta-potti-qube-165-inodoro-quimico-portatil-abierto.jpg?v=1767870424	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/thetford-porta-potti-qube-165-inodoro-portatil-tapa-cerrada.jpg?v=1767870450,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/thetford-porta-potti-qube-165-vista-lateral-detalles.jpg?v=1767870472,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/thetford-porta-potti-qube-165-bomba-manual-descarga.jpg?v=1767870493,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/thetford-porta-potti-qube-165-deposito-residuos-extraible.jpg?v=1767870516,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/thetford-porta-potti-qube-165-dimensiones-medidas.jpg?v=1767870537					Thetford	gid://shopify/ProductVariant/49023450317142	third party shopify:third party syncing		0 kg				4		POTTI165	Inodoros portátiles	0
Régulateur de gaz Truma MonoControl CS	17373222946372871782	126.77 EUR	nuevo	en stock	online	ES	fr		https://evacaravan.com/fr/cart/add?id=42216235532450&quantity=1			Régulateur de gaz Truma MonoControl CS avec capteur de collision pour une utilisation sécurisée du gaz en camping-cars et fourgons aménagés. Protection supplémentaire.			https://evacaravan.com/fr/products/regulador-gas-truma-monocontrol-cs	https://evacaravan.com/cdn/shop/files/truma-monocontrol-cs-regulador-gas.jpg?v=1764329635		ES		04052816037158	7522124529826	Truma												0
Poignée de sécurité Fiamma Security 46	921892	113.88 EUR	nuevo	en stock	online	FR	fr		https://evacaravan.com/fr/cart/add?id=42230778560674&quantity=1			"La poignée de sécurité Fiamma Security 46 offre stabilité et protection à l'accès caravane. Robuste, pliable et facile à installer."			https://evacaravan.com/fr/products/asa-de-seguridad-fiamma-security-46	https://evacaravan.com/cdn/shop/files/Kit_completo_de_instalaci_n_del_asa_de_seguridad_Fiamma_Security_46.jpg?v=1764066732	https://evacaravan.com/cdn/shop/files/Kit_completo_de_instalaci_n_del_asa_de_seguridad_Fiamma_Security_46_1200x1200.jpg?v=1764066732	FR		08004815058074	7527185973410	Fiamma												0
Thule Slide Out Electric Step 550 mm	15939682	394.74 EUR	nuevo	agotado	online	ES	en		https://evacaravan.com/en/cart/add?id=42203619328162&quantity=1			"The Thule Slide Out 550 mm electric step offers safe and convenient access to your vehicle. It features a durable design, smooth sliding, and easy installation."			https://evacaravan.com/en/products/electric-step-thule-slide-out-550-mm	https://evacaravan.com/cdn/shop/files/escalon-electrico-thule-slide-out-550mm-autocaravana.jpg?v=1764168003		ES		05415182065160	7516403171490	Thule												0
Fiamma Roll Tank 23W	921134	63.19 EUR	nuevo	en stock	online	ES	en		https://evacaravan.com/en-eu/cart/add?id=48995905306966&quantity=1			"The Fiamma Roll Tank 23W is a 23L waste water tank with a removable handle. It's durable, easy to transport, and suitable for caravans and campers."			https://evacaravan.com/en-eu/products/fiamma-roll-tank-23w-waste-water-tank	https://evacaravan.com/cdn/shop/files/fiamma-roll-tank-23w-deposito-portatil-asa-ruedas.jpg?v=1764231171		ES		08004815025090	9223622623574	Fiamma												0
Milenco AKS 3004 Anti-Theft Stabilizer	2004	122.44 EUR	nuevo	en stock	online	ES	en		https://evacaravan.com/en-eu/cart/add?id=48995518120278&quantity=1			"Milenco AKS 3004 Stabilizer Anti-Theft Device: High security, puncture-proof, and reinforced 4mm body. Includes carrying case and safety ball."			https://evacaravan.com/en-eu/products/milenco-als-3004-stabilizer-anti-theft-lock	https://evacaravan.com/cdn/shop/files/milenco-antirrobo-estabilizador-aks-3004-kit-cerradura-llaves.jpg?v=1765893010	https://evacaravan.com/cdn/shop/files/milenco-antirrobo-estabilizador-aks-3004-kit-cerradura-llaves_1200x1200.jpg?v=1765893010	ES			9223522156886	Milenco			5056101832004									0
Milenco Cepo Compacto: Dispositivo antirrobo eficaz y fiable	shopify_ES_9934140604758_51750429688150	127.30 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/milenco-cepo-compacto?variant=51750429688150&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic					5060101832745														0
"Televisor Seeview LED HD 18,5"" 12V para Caravana y Camper"	shopify_ES_7527055327394_42230533816482	149.90 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/tv-ledhd-seeview-18-5?variant=42230533816482&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic																			0
Remis Remitop Vario II avec manivelle - Lucarne pour caravane 40x40 cm	14700182669180306153	155.63 EUR	nuevo	agotado	online	ES	fr		https://evacaravan.com/fr/cart/add?id=49115008303446&quantity=1			"Lucarne Remis Remitop Vario II avec manivelle 40x40 cm pour caravanes et camping-cars. Ventilation fluide, protection solaire et ouverture simple."	Solid		https://evacaravan.com/fr/collections/climatizacion-frio-claraboyas-caravana/products/remis-remitop-vario-ii-manivela-claraboya-caravana-40x40?_pos=5&_fid=664aca841&_ss=c	https://evacaravan.com/cdn/shop/files/remis-remitop-vario-ii-claraboya-abierta-40x40-cm.jpg?v=1764330990	https://evacaravan.com/cdn/shop/files/remis-remitop-vario-ii-claraboya-abierta-40x40-cm_1200x1200.jpg?v=1764330990	ES		04031701304612	9247836930390	Remis												0
Reich Caravan Weight Control CWC – Tragbare Waage für Fahrzeuge und Wohnwagen (bis 1000 kg)	922555	214.54 EUR	nuevo	en stock	online	DE	de		https://evacaravan.com/de-de/cart/add?id=49023523750230&quantity=1			Wiegen Sie Ihren Wohnwagen oder Ihr Fahrzeug schnell und präzise mit der tragbaren Waage Reich Caravan Weight Control CWC. Tragkraft bis zu 1000 kg.			https://evacaravan.com/de-de/products/reich-caravan-weight-control-cwc-tragbare-waage-fuer-fahrzeuge-und-wohnwagen-bis-1000-kg	https://evacaravan.com/cdn/shop/files/reich-caravan-weight-control-cwc-bascula-inclinada.jpg?v=1764330434		DE		04037911200300	9230563279190	Reich												0
"Truma AK3 Chimney for Truma S 3002, S 3004 and S2200 Heaters - Safe Flue Outlet for Caravans"	909660	49.00 EUR	nuevo	agotado	online	ES	en		https://evacaravan.com/en-eu/cart/add?id=48542403952982&quantity=1	blanco		"Chimenea Truma AK3 compatible con calefacciones S 3002, S 3004 y S 2200. Salida de humos segura y homologada para caravanas y autocaravanas."	Solid		https://evacaravan.com/en-eu/products/chimenea-truma-ak3-caravanas-salida-humos	https://evacaravan.com/cdn/shop/files/chimenea-truma-ak3-caravanas-vista-frontal.jpg?v=1776176950	https://evacaravan.com/cdn/shop/files/chimenea-truma-ak3-caravanas-vista-frontal_1200x1200.jpg?v=1776176950	ES		04052816021256	9064958820694	Truma												0
Thetford Fresh-up Waschbecken-Set C200	13321007826617811762	168.18 EUR	nuevo	en stock	online	AT	de		https://evacaravan.com/de-at/cart/add?id=42234609467554&quantity=1			Rüsten Sie Ihre Toilette mit einem neuen Spülkasten und Sitz auf – mit dem Thetford Fresh-up C200 für optimale Hygiene und mehr Komfort bei jeder Benutzung.			https://evacaravan.com/de-at/products/thetford-fresh-up-waschbecken-set-c200	https://evacaravan.com/cdn/shop/files/kit-thetford-fresh-up-c200-1.jpg?v=1764253340		AT		08710315026566	7528530608290	Thetford												0
Thetford Fresh-up Waschbecken-Set C220	12525056736703903074	168.18 EUR	nuevo	en stock	online	AT	de		https://evacaravan.com/de-at/cart/add?id=42237268689058&quantity=1			Rüsten Sie Ihre Kassettentoilette mit einem neuen Spülkasten und Sitz auf – mit dem Thetford Fresh-up Set C220 für mehr Hygiene und Komfort in Ihrem Wohnwagen.			https://evacaravan.com/de-at/products/thetford-fresh-up-waschbecken-set-c220	https://evacaravan.com/cdn/shop/files/kit-thetford-fresh-up-c220-1.jpg?v=1764253986		AT		08710315028874	7529133047970	Thetford												0
Pack 3 Fiamma Safe Door Frame - Cierres de Seguridad	shopify_ES_7516185854114_42203279556770	157.38 EUR		en stock	online	ES	es	8302				"Mejora la protección de tu autocaravana con el Pack 3 Fiamma Safe Door Frame. Cierres de seguridad resistentes, fáciles de instalar y con diseño cuidado."			https://evacaravan.com/products/pack-3-cierres-seguridad-fiamma-safe-door-frame?variant=42203279556770&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/fiamma-safe-door-frame-pack-3-cierres-seguridad.jpg?v=1764325728	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/fiamma-safe-door-frame-cierre-seguridad-unidad.jpg?v=1764325751,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/fiamma-safe-door-frame-dimensiones-cierre-seguridad.jpg?v=1764325772,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/logo-fiamma.jpg?v=1764325795		sí	8004815386443		Fiamma	gid://shopify/ProductVariant/42203279556770	third party shopify:third party syncing		0 kg						15939248	Cerraduras	0
Cargador de Batería Fijo 16A CBE 516 60-200ah Seguro 10 Ah	shopify_ES_7515044413602_42199862313122	119.61 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/cargador-de-bateria-fijo-16a-cbe-516-60-200ah?variant=42199862313122&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic					8033123267069														0
"Thule Elektrischer Tritthocker, einstufig, 550 mm"	7432502999783121917	342.27 EUR	nuevo	en stock	online	AT	de		https://evacaravan.com/de-at/cart/add?id=42207132352674&quantity=1			Die elektrische Trittstufe Thule (550 mm) bietet sicheren und bequemen Zugang für Wohnwagen und Wohnmobile. Robuste Konstruktion und zuverlässiger Betrieb.			https://evacaravan.com/de-at/products/thule-elektrischer-tritthocker-einstufig-550-mm	https://evacaravan.com/cdn/shop/files/escalon-electrico-thule-peldano-simple-550mm-autocaravana.jpg?v=1764167600		AT		05415182044431	7518033805474	Thule												0
Vertikaler Gasregler Truma DuoControl CS	15941666	199.91 EUR	nuevo	en stock	online	DE	de		https://evacaravan.com/de-de/cart/add?id=42216299954338&quantity=1			Truma DuoControl CS Vertikal-Gasregler mit Crash-Sensor-System. Automatische Flaschenumschaltung und erhöhte Sicherheit für Wohnwagen und Wohnmobile.			https://evacaravan.com/de-de/products/truma-duocontrol-cs-vertikaler-gasregler	https://evacaravan.com/cdn/shop/files/truma-duocontrol-cs-vertical-regulador-gas.jpg?v=1764329380		DE		04052816037103	7522159394978	Truma												0
AL-KO Octagon Red – Stoßdämpfer für Anhänger und Wohnwagen (bis 1800 kg)	15938539	73.00 EUR	nuevo	en stock	online	DE	de		https://evacaravan.com/de/cart/add?id=48995865690454&quantity=1			"AL-KO Octagon Red Stoßdämpfer, ideal für Anhänger und Wohnwagen bis 1800 kg. Erhöht die Stabilität und reduziert Vibrationen. AL-KO Qualität."			https://evacaravan.com/de/products/al-ko-octagon-red-stossdaempfer-fuer-anhaenger-und-wohnwagen-bis-1800-kg	https://evacaravan.com/cdn/shop/files/Amortiguador_AL-KO_Octagon_Rojo.jpg?v=1776093622		DE			9223615119702	AL-KO						5	1					0
Thetford Duo Tankreiniger-Konzentrat	15006182846556315271	15.33 EUR	nuevo	agotado	online	AT	de		https://evacaravan.com/de-at/cart/add?id=52051576619350&quantity=1			Mit dem Thetford Duo Tankreiniger-Konzentrat bleiben Ihre Grauwasser- und Schwarzwassertanks strahlend sauber. Tiefenreinigung und langanhaltende Wirkung in nur einem Schritt!	Solid		https://evacaravan.com/de-at/products/thetford-duo-tankreiniger-konzentrat	https://evacaravan.com/cdn/shop/files/thetford-duo-tank-cleaner-concentrado-botella.jpg?v=1765295998		AT		08710315995497	10025216803158	Thetford												0
Victron SmartShunt 500A | Monitor Batería BT	shopify_ES_9933658882390_51748663853398	106.63 EUR		en stock	online	ES	es	499928				"El Victron Energy SmartShunt 500 A es un monitor inteligente de batería que ofrece una medición completa y precisa del sistema eléctrico. Desde el primer momento, el SmartShunt permite controlar el estado de la batería y optimizar la energía en campers, embarcaciones y sistemas solares. Además, funciona como una solución todo en uno, sin necesidad de una pantalla adicional. Gracias a la aplicación VictronConnect, podrás ver toda la información directamente en tu móvil. Por ejemplo, puedes consultar el estado de carga, el voltaje, el tiempo restante y la energía consumida. También recibirás alertas si aparece cualquier problema en la instalación. Así tendrás siempre lo importante a la vista. Por otro lado, el SmartShunt 500 A utiliza una derivación de alta precisión. Con ella, recopila datos exactos del sistema para asegurar un análisis fiable del rendimiento de la batería. Además, guarda históricos para un control más avanzado a largo plazo. La integración también es sencilla. A través de VE.Smart Networking, puedes compartir datos con otros dispositivos Victron, como cargadores o reguladores solares, para mejorar la eficiencia. Y si conectas un centro GX, podrás usar VRM para la supervisión remota del sistema desde cualquier lugar. Asimismo, incluye una entrada auxiliar que sirve para medir una segunda batería, el punto medio o la temperatura mediante un sensor opcional. Por lo tanto, el SmartShunt es una herramienta completa para supervisar y proteger la energía en cualquier instalación. Características técnicas Modelo: Victron Energy SmartShunt 500 A Conectividad Bluetooth integrada Aplicación VictronConnect para monitorización Medición de voltaje, corriente, SOC y tiempo restante Compatibilidad con sistemas de energía Victron Entrada auxiliar multifunción Función de supervisión remota mediante portal VRM Ventajas principales Control preciso y fácil de la batería Instalación rápida y sin display adicional Mayor vida útil del sistema eléctrico Historial de datos para análisis avanzado Perfecto para camper, barco y energía solar"			https://evacaravan.com/products/victron-energy-smartshunt-500a-monitor-bateria-bluetooth?variant=51748663853398&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/victron-energy-smartshunt-500a-bluetooth-monitor-bateria-frontal.jpg?v=1764771960	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/victron-energy-smartshunt-500a-puerto-aux-opciones.jpg?v=1764771979,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/victron-energy-smartshunt-500a-instalacion-sencilla.jpg?v=1764771997,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/victron-energy-smartshunt-500a-precision-alarmas.jpg?v=1764772014,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/victron-energy-smartshunt-ecosistema-bluepower.jpg?v=1764772034,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/victron-energy-smartshunt-500a-compatibilidad-baterias.jpg?v=1764772053,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/victron-energy-smartshunt-500a-estado-carga-app.jpg?v=1764772073,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/victron-energy-smartshunt-500a-monitor-inteligente-bateria.jpg?v=1764772096					Victron Energy	gid://shopify/ProductVariant/51748663853398	third party shopify:third party syncing		0.7 kg				2		NT-1308	Baterías	1
Truma Abgaskaminkappe für AK-3 und AK-5	910636	19.09 EUR	nuevo	agotado	online	DE	de		https://evacaravan.com/de-de/cart/add?id=48522609525078&quantity=1			"Tapa chimenea Truma AK-3 y AK-5 para caravanas, autocaravanas y furgonetas. Protección duradera, instalación fácil y ajuste perfecto."	Solid		https://evacaravan.com/de-de/products/tapa-chimenea-truma-ak3-ak5-caravanas	https://evacaravan.com/cdn/shop/files/tapa-chimenea-truma-ak3-ak5-caravanas-vista-frontal.jpg?v=1776178661		DE			9054475583830	Truma												0
Victron VE.Bus Smart Mochila Bluetooth para inversores	shopify_ES_10061411189078_52196966302038	96.94 EUR		en stock	online	ES	es	6790				"Victron VE.Bus Smart Mochila: Bluetooth, detección de voltaje y temperatura para inversores Victron. Control total desde VictronConnect."			https://evacaravan.com/products/victron-energy-ve-bus-smart-mochila?variant=52196966302038&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/victron-energy-ve-bus-smart-mochila-dongle-bluetooth-principal.jpg?v=1767800530	https://cdn.shopify.com/s/files/1/0611/9063/5682/files/victron-energy-ve-bus-smart-mochila-bluetooth-victronconnect-app.jpg?v=1767800558,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/victron-energy-ve-bus-smart-mochila-medicion-temperatura-voltaje.jpg?v=1767800596,https://cdn.shopify.com/s/files/1/0611/9063/5682/files/victron-energy-ve-bus-smart-mochila-esquema-instalacion-compatibilidad.jpg?v=1767800618		sí	8719076035558		Victron Energy	gid://shopify/ProductVariant/52196966302038	third party shopify:third party syncing		0.5 kg				1		NT-1066	Accesorios eléctricos	0
Serrure de sécurité Meroni UFO+ PLUS pour véhicules commerciaux - Juego de 2 Cerraduras	8717298205014_8086h3232b	265.90 EUR	nuevo	en stock	online	BE	fr		https://evacaravan.com/fr-be/cart/add?id=47662540816726&quantity=1			"La serrure Meroni UFO Plus offre une sécurité maximale pour véhicules commerciaux. Design antivol en acier inoxydable, robuste, fiable et facile à installer."			https://evacaravan.com/fr-be/products/cerradura-meroni-ufo-plus?variant=47662540816726	https://evacaravan.com/cdn/shop/files/meroni-ufo-plus-vista-frontal.jpg?v=1764075069		BE		08003601632337	8717298205014	MERONI												0
Daken Saturn Go Gris - Doble	10360300339542_84001	175.00 EUR	nuevo	en stock	online	ES	es		https://evacaravan.com/es-eu/cart/add?id=53204593410390&quantity=1			"Cerradura antirrobo Daken Saturn Go gris para furgoneta. Sold Secure Silver, EN 1303:2015. Bloqueo manual. Pack individual o doble. Eva Caravan."			https://evacaravan.com/es-eu/products/daken-saturn-go-gris-cerradura-furgoneta?variant=53204593410390	https://evacaravan.com/cdn/shop/files/cerradura-antirrobo-daken-saturn-go-gris-frontal.jpg?v=1777300398	https://evacaravan.com/cdn/shop/files/cerradura-antirrobo-daken-saturn-go-gris-frontal_1200x1200.jpg?v=1777300398	ES		08056446671887	10360300339542	Daken												0
Bloqueur de porte Thule Door Frame Lock	15935709	64.36 EUR	nuevo	en stock	online	FR	fr		https://evacaravan.com/fr/cart/add?id=42203176206498&quantity=1			"Le bloqueur de porte Thule Door Frame Lock renforce la sécurité de votre caravane ou camping-car. Facile à installer, robuste et design antivol"			https://evacaravan.com/fr/products/verrou-de-porte-thule-door-frame-lock	https://evacaravan.com/cdn/shop/files/Bloqueador_de_puerta_Thule_Door_Frame_Lock.jpg?v=1764067212		FR		05415182019187	7516124774562	Thule												1
Spa 5100 Fensterklimaanlage	a0020143	669.30 EUR	nuevo	en stock	online	ES	de		https://evacaravan.com/de/cart/add?id=51774322901334&quantity=1			"Spa 5100 Fensterklimaanlage: leistungsstark, leise und effizient. Ideal für Wohnwagen, Camper und mittelgroße Wohnmobile."			https://evacaravan.com/de/products/spa-5100-fensterklimaanlage	https://evacaravan.com/cdn/shop/files/Aire_acondicionado_de_ventana_Spa_5100.jpg?v=1763998024		ES		08712757488322	9942103589206	Mestic												0
Thetford Aqua Kem Green | Líquido WC Concentrado	shopify_ES_10025182298454_52051452395862	18.12 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/thetford-aqua-kem-green-concetrado?variant=52051452395862&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic					8710315995244														0
Reich Tandem 19L | Bomba Agua Sumergible 12V	shopify_ES_9230525170006_49023407194454	69.61 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/reich-tandem-19-litros?variant=49023407194454&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic																			0
Reich Caravan Weight Control CWC – Portable Scale for Vehicles and Caravans (up to 1000 kg)	922555	208.04 EUR	nuevo	en stock	online	ES	en		https://evacaravan.com/en-eu/cart/add?id=49023523750230&quantity=1			Quickly and accurately weigh your caravan or vehicle with the Reich Caravan Weight Control CWC portable scale. Capacity up to 1000 kg.			https://evacaravan.com/en-eu/products/reich-caravan-weight-control-cwc-portable-scale-for-caravans-1000kg	https://evacaravan.com/cdn/shop/files/reich-caravan-weight-control-cwc-bascula-inclinada.jpg?v=1764330434		ES		04037911200300	9230563279190	Reich												0
AL-KO Kit Lock + Safety Ball AK1617AK270	1730411	30.49 EUR	nuevo	agotado	online	ES	en		https://evacaravan.com/en-eu/cart/add?id=52092889334102&quantity=1			"AL-KO anti-theft kit: lock cylinder + Safety Ball for OPTIMA AK 161 and AK 270 hitches. Polished metal, easy and secure assembly."			https://evacaravan.com/en/products/al-ko-safety-ball-lock-kit-ak1617ak270	https://evacaravan.com/cdn/shop/files/al-ko-kit-cerradura-safety-ball-ak1617-ak270-antirrobo-remolque-caravana.jpg?v=1765888750	https://evacaravan.com/cdn/shop/files/al-ko-kit-cerradura-safety-ball-ak1617-ak270-antirrobo-remolque-caravana_1200x1200.jpg?v=1765888750	ES		04003718051704	10036493091158	AL-KO												0
Dometic LS 100	ls100	68.54 EUR	nuevo	en stock	online	FR	fr		https://evacaravan.com/fr-fr/cart/add?id=49001938878806&quantity=1			"Améliez les performances de votre réfrigérateur avec Dometic LS 100, conçu pour caravanes et camping-cars. Maintenez la température efficacement. ️"			https://evacaravan.com/fr-fr/collections/climatizacion-frio-ventilacion-caravanas/products/dometic-ls-100	https://evacaravan.com/cdn/shop/files/dometic-ls100-rejilla-ventilacion-frontal.jpg?v=1765454048		FR		05999024872722	9224973549910	Dometic												0
Victron SmartShunt IP65 300A | Monitor Batería BT	shopify_ES_10115306357078_52284147499350	75.15 EUR	nuevo		En tienda	ES	es								https://evacaravan.com/products/victron-energy-smartshunt-ip65-300-amperios-monitor-de-bateria?variant=52284147499350&country=ES&currency=EUR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic					8719076065791														0
Fiamma Safe Door Magnum Lock	sfmagnum	73.12 EUR	nuevo	en stock	online	ES	en		https://evacaravan.com/en-eu/cart/add?id=49001246163286&quantity=1			"The Fiamma Safe Door Magnum is a robust security lock for campers and motorhomes. It reinforces doors, prevents theft, and offers maximum protection."			https://evacaravan.com/en-eu/products/fiamma-safe-door-magnum-security-lock	https://evacaravan.com/cdn/shop/files/fiamma-safe-door-magnum-blanco.jpg?v=1764145975		ES		08004815409432	9224672772438	Fiamma												0
Thule Universal Look Thule x1 Blanc - Serrure de Sécurité pour Portes de Camping-car ou Camper	15939167	93.63 EUR	nuevo	en stock	online	FR	fr		https://evacaravan.com/fr-fr/cart/add?id=49001106440534&quantity=1			"La serrure Thule Universal Lock est conçue pour renforcer la protection des portes dans les camping-cars, les caravanes et les campers. De plus, elle offre une installation très polyvalente. Vous pouvez l'installer sur la porte d'entrée, celle du garage ou sur une porte divisée. Ainsi, elle ajoute une sécurité suppléme"			https://evacaravan.com/fr-fr/products/cerradura-thule-universal-lock-para-camper	https://evacaravan.com/cdn/shop/files/thule-universal-lock-blanco-cerradura-seguridad-autocaravana.jpg?v=1764598890	https://evacaravan.com/cdn/shop/files/thule-universal-lock-blanco-cerradura-seguridad-autocaravana_1200x1200.jpg?v=1764598890	FR		05415182045025	9224641511766	Thule												0
