SKU,NOMBRE,KG_REAL,VOL_GLS_167,VOL_UPS_200,PESO_FACTURABLE_KG,PESO_FACTURABLE_GRAMOS,BRACKET_GLS,BRACKET_UPS
BATERIA80,Bateria auxiliar Power Line AGM 80 amperios,22.0,2.346,2.815,22.0,22000,20-25,20-25
EZAAGM100,Batería Auxiliar Power Line AGM 100 Amh,26.5,2.346,2.815,26.5,26500,25-30,25-30
15935241,Truma Cartucho de Repuesto para Filtro de Gas,0.5,0.667,0.8,0.8,800,0-1,0-1
15941669,Truma Filtro de Gas,0.5,0.667,0.8,0.8,800,0-1,0-1
15941670,Truma Juego de filtros de gas 2 piezas,1.1,0.933,1.12,1.12,1120,1-2,1-2
15941666,Truma Regulador DuoControl CS Vertical,1.3,0.952,1.142,1.3,1300,1-2,1-2
15941667,Truma Regulador DuoControl CS Horizontal,1.4,0.812,0.975,1.4,1400,1-2,1-2
15941668,Truma Regulador Monocontrol CS,0.7,0.667,0.8,0.8,800,0-1,0-1
15945435,Aire Acondicionado Mestic RTA 2500L Techo con Bomba de calor,,0.0,0.0,0.0,0,0-1,0-1
3T50002506,Aire Acondicionado Bergstrom Openair Compacto De Techo 12v,,0.0,0.0,0.0,0,0-1,0-1
3T15934390,Aire Acondicionado Dometic FreshLight 2200 con difusor,,0.0,0.0,0.0,0,0-1,0-1
3T15943358,Aire Acondicionado Mestic SPA-3000,,0.0,0.0,0.0,0,0-1,0-1
3T15945436,Aire Acondicionado para caravana SPA-5000,,0.0,0.0,0.0,0,0-1,0-1
3T15941790,Truma Calentador de agua Boiler eléctrico,,0.0,0.0,0.0,0,0-1,0-1
247095,AL-KO Soft Dock,0.5,0.667,0.8,0.8,800,0-1,0-1
247104,AL-KO Safety Ball,0.5,0.667,0.8,0.8,800,0-1,0-1
1730411,AL-KO Kit Cerradura + Safety Ball AK1617AK270,0.5,0.667,0.8,0.8,800,0-1,0-1
1212458,AL-KO Big Foot Kit Apoyo Pata Reforzada,3.2,2.305,2.766,3.2,3200,3-4,3-4
CARRYBAG145,Thetford Carry Bag Porta Potti 145/335/345,0.6,0.54,0.648,0.648,648,0-1,0-1
T299901/0,Thetford Carry Bag Porta Potti 165/365/565,0.7,0.54,0.648,0.7,700,0-1,0-1
20531810,AL-KO Abrazadera 48,0.7,0.667,0.8,0.8,800,0-1,0-1
1222433,AL-KO Rueda Jockey 200x50 (148 24Q3),4.5,1.904,2.285,4.5,4500,4-5,4-5
2745,Milenco 2745 Cepo Compacto,4.1,1.674,2.009,4.1,4100,4-5,4-5
20531810+1222433,AL-KO Rueda Jockey 200x50 + Abrazadera 48,5.3,1.904,2.285,5.3,5300,5-6,5-6
BR0830148N.C5T,MIDDAY TUCANY,3.1,2.17,2.604,3.1,3100,3-4,3-4
BR0102064N.C20,BALMAT 250X250 BLACK&WHITE,4.1,8.758,10.509,10.509,10509,8-9,10-15
BR0201108N.C52,KINETIC 600 - 250X400m GRIS CLARO,5.3,3.758,4.51,5.3,5300,5-6,5-6
BR0201131N.C52,KINETIC 600 - 300X300 CM GRIS,5.2,3.38,4.056,5.2,5200,5-6,5-6
BR0201106N.C59,KINETIC 600 - 250X300 cm AZUL/GRIS,4.4,2.635,3.162,4.4,4400,4-5,4-5
BR0201131N.C59,KINETIC 600 - 300X300 CM AZUL/GRIS,5.2,2.947,3.536,5.2,5200,5-6,5-6
BR0404063N.C09,Silla SKYE 3D BLACK,6.4,23.653,28.384,28.384,28384,20-25,25-30
1733706,AL-KO PROSAFE: Antirrobo para caravanas y remolques,8.3,3.485,4.182,8.3,8300,8-9,8-9
6261,Dometic Power Care Tabs,0.5,0.667,0.8,0.8,800,0-1,0-1
0353,Dometic Potti 972 GRIS,5.6,7.467,8.96,8.96,8960,7-8,8-9
A0015245,Aire Techo RTA 2500 L Negro / Beige,36.0,33.408,40.09,40.09,40090,30-40,PALE
A0027203,Aire Techo RTA 2500 L Blanco,36.0,33.408,40.09,40.09,40090,30-40,PALE
A0020143,Aire Ventana Spa 5100,21.0,5.957,7.148,21.0,21000,20-25,20-25
A0020090,Aire Ventana Spa 3100,19.0,5.957,7.148,19.0,19000,15-20,15-20
A0024021,Aire Techo RTA 2000 Openair MESTIC,25.0,49.248,59.098,59.098,59098,PALE,PALE
A0022740,Aire Techo Openair,,0.0,0.0,0.0,0,0-1,0-1
A0027459,Aire Techo Openair Plus Full Inverter,31.0,39.105,46.926,46.926,46926,30-40,PALE
A0004198,Kit Calentador Agua Boiler Truma,,0.0,0.0,0.0,0,0-1,0-1
DUPLEX36,Thetford Horno-Grill Duplex 36 L,,0.0,0.0,0.0,0,0-1,0-1
T1090,Thetford Nevera Compresor T1090 de 90 L,,0.0,0.0,0.0,0,0-1,0-1
1FT500009-1,Gato 12 Tns Perfil Bajo,6.1,1.031,1.238,6.1,6100,6-7,6-7
1FL002360,Deposito Metàlico 10 Lts.,2.9,3.01,3.612,3.612,3612,3-4,3-4
1FL002361,Deposito Metàlico 20 Lts.,4.3,4.532,5.439,5.439,5439,4-5,5-6
1FT340125,Juego Pinzas 16 mm,2.1,1.76,2.112,2.112,2112,2-3,2-3
1FT305047,Juego Pinzas 25 mm,2.6,1.76,2.112,2.6,2600,2-3,2-3
DCU1000PU,DCU Inversor corriente Onda Pura 1000W,4.2,3.366,4.039,4.2,4200,4-5,4-5
DCU1500PU,DCU Inversor corriente Onda Pura 1500W,5.0,3.366,4.039,5.0,5000,4-5,4-5
DCU2000PU,DCU Inversor corriente Onda Pura 2000W,5.5,4.6,5.52,5.52,5520,5-6,5-6
995756,Thetford Fresh Up Carry Bag,0.5,0.652,0.783,0.783,783,0-1,0-1
NT-1345,Victron Energy GX Touch 70,0.8,0.392,0.47,0.8,800,0-1,0-1
NT-1218,Victron Energy BMV-700 Monitor de Batería,1.2,1.012,1.215,1.215,1215,1-2,1-2
15939712,Campana Extractora Negra,1.7,1.56,1.872,1.872,1872,1-2,1-2
15939713,Campana Extractora Inox,1.7,1.56,1.872,1.872,1872,1-2,1-2
84200,Daken Saturn Evo Single,1.1,0.667,0.8,1.1,1100,1-2,1-2
84201,Daken Saturn Evo Double,2.1,0.667,0.8,2.1,2100,2-3,2-3
84020,Daken Saturn Go Black Single,1.0,0.667,0.8,1.0,1000,0-1,0-1
84021,Daken Saturn Go Black Double,1.7,0.667,0.8,1.7,1700,1-2,1-2
84010,Daken Saturn Go White Single,0.9,0.667,0.8,0.9,900,0-1,0-1
84011,Daken Saturn Go White Double,1.8,0.667,0.8,1.8,1800,1-2,1-2
84000,Daken Saturn Go Gris Single,1.0,0.667,0.8,1.0,1000,0-1,0-1
84001,Daken Saturn Go Gris Double,1.7,0.667,0.8,1.7,1700,1-2,1-2
84400,Daken Blackstone Silver Slam Single,2.2,0.667,0.8,2.2,2200,2-3,2-3
84401,Daken Blackstone Silver Slam Double,4.2,0.827,0.992,4.2,4200,4-5,4-5
84410,Daken Blackstone Silver Combo Single,2.3,0.667,0.8,2.3,2300,2-3,2-3
84411,Daken Blackstone Silver Combo Double,4.2,0.775,0.93,4.2,4200,4-5,4-5
84100,Daken Noval Single,1.6,0.667,0.8,1.6,1600,1-2,1-2
84101,Daken Noval Double,3.0,0.667,0.8,3.0,3000,2-3,2-3
NT-1210,Victron Energy SmartSolar MPPT 150V 100 amperios 12/24/36/48-Voltios,5.9,3.72,4.464,5.9,5900,5-6,5-6
